query,response,category
"9 : 30 am ko Sunday Brunch ke liye ek naya weekly reminder add karen","Did you mean: Add a new weekly reminder for Sunday Brunch at 9 : 30 am?","intent_mapping"
"danny ko message karo aur dekho ke he wants to go to comic con","Did you mean: message danny and see if he wants to go to comic con?","intent_mapping"
"do ghante ke liye alarm set kardo","Did you mean: set alarm for 2 hours?","intent_mapping"
"neil ke liye cake bake karne ke reminder ko mita den","Did you mean: kill the reminder for baking a cake for neil?","intent_mapping"
"Please mere chat requests ko retrieve kare","Did you mean: retrieve my chat requests please?","intent_mapping"
"agar mai raat 9 baje tak idhar se nikal jau toh kya mai raat 11 baje tak Taipei pahunch jaunga ?","Did you mean: If I leave here by 9 pm , will I get to Taipei by 11 pm ??","intent_mapping"
"Pensacola me is weekend ko free me karne ke liye cheeze","Did you mean: Things to do this weekend for free in Pensacola?","intent_mapping"
"Kya aaj thand hone wali hai","Did you mean: Is it going to be cold today?","intent_mapping"
"Chris ko text karo ki I ' m stuck in traffic","Did you mean: Text Chris I ' m stuck in traffic?","intent_mapping"
"please 50 minutes ke liye timer ko set karen","Did you mean: please set timer for 50 minutes?","intent_mapping"
"7 pm ke alarm ko delete karo","Did you mean: delete 7 pm alarm?","intent_mapping"
"Please subah 9 baje se pehle ke sabhi chore reminders ko hataye","Did you mean: Remove all chore reminders that are before 9 am . , please .?","intent_mapping"
"Agle hafte San Francisco me temperature c me","Did you mean: Temperature next week in San Francisco c?","intent_mapping"
"6 : 10 ke liye alarm ko cancel karen","Did you mean: Cancel alarm for 6 : 10?","intent_mapping"
"Just the way you are song ko dohrayen","Did you mean: repeat the song Just the way you are?","intent_mapping"
"bhaari traffic me mujhe waha pahunchne me kitna samay lagega","Did you mean: How long will it take me to get there in heavy traffic?","intent_mapping"
"90 ke songs ki ek playlist create karo","Did you mean: Create a playlist of songs from the 90 ' s?","intent_mapping"
"baltimore me mausam kaisa hai","Did you mean: what ' s the weather in baltimore?","intent_mapping"
"Magic 93 Point 7 bajaana shuru karo","Did you mean: start playing Magic 93 Point 7?","intent_mapping"
"Showtime par Outlander schedule","Did you mean: Outlander schedule on Showtime?","intent_mapping"
"aaj humid kitna hai","Did you mean: how humid is today?","intent_mapping"
"har monday 6 am and 5 pm ke liye alarm create kare","Did you mean: Create an alarm for 6 am and 5 pm every monday?","intent_mapping"
"sirf 80s bajaayen","Did you mean: play 80s only?","intent_mapping"
"please , is song ko rok den .","Did you mean: Pause this song , please .?","intent_mapping"
"Mujhe aaj raat 6 baje ke mausam ke baare me batao ?","Did you mean: Tell me about the weather tonight at 6 ??","intent_mapping"
"kal weather man ne kaha tha ke aaj baarish hosakti hai . aaj weather kaisa hai ?","Did you mean: Yesterday the weather man said that it might rain today . How is the weather today ??","intent_mapping"
"1 : 45 pm ko 15 minute ka timer schedule karen","Did you mean: Schedule 15 minute timer at 1 : 45 pm?","intent_mapping"
"humidity kitni hai","Did you mean: what ' s the humidity?","intent_mapping"
"baseball game dekhne ke liye 3 pm ka ek reminder set kare","Did you mean: set a reminder for 3 pm to watch the baseball game?","intent_mapping"
"80s ke music bajao","Did you mean: play 80s music?","intent_mapping"
"please mujhe set kiye huwe alarms dikhao .","Did you mean: Show me the set alarms please .?","intent_mapping"
"10 minutes me mera work timer fir se shuru karo","Did you mean: Resume my work timer in 10 minutes .?","intent_mapping"
"kya aaj mujhe shorts pehenne chahiye","Did you mean: should i wear shorts today?","intent_mapping"
"raat 10 baje ke liye alarm set kardo","Did you mean: set alarm for 10 pm?","intent_mapping"
"kya mujhe umbrella laana chahiye ?","Did you mean: should i bring an umbrella ??","intent_mapping"
"doctor ke liye reminder set karen","Did you mean: set a reminder for the doctor?","intent_mapping"
"kya aaj sham baarish hogi","Did you mean: Will it rain this evening >?","intent_mapping"
"kya kal ke liye aasmaan sunny hai","Did you mean: Are the skies sunny for tomorrow?","intent_mapping"
"list me se agla song bajao","Did you mean: Play the next song in the list?","intent_mapping"
"What ' sApp ko open kare aur text bheje .","Did you mean: Open What ' sApp and send text .?","intent_mapping"
"southington me apple harvest fest ke liye highway lena zyada tezz hoga ya back roads ?","Did you mean: Is it quicker to take highway or back roads to the apple harvest fest in southington ??","intent_mapping"
"kya mai Bush ka ek song sun sakta hun","Did you mean: Can I listen to a song by Bush?","intent_mapping"
"family group me sabko yaad dilaye ke hamare pas thursday sham 7 baje ko game night hai","Did you mean: Remind everyone in the family group that we have game night Thursday at 7 pm .?","intent_mapping"
"aaj raat 11 baje ke liye mera alarm set karen","Did you mean: set my alarm for 11 pm tonight?","intent_mapping"
"agla blizz con event kab hai","Did you mean: when is the next blizz con event?","intent_mapping"
"mujhe Tuesday ko 8 : 45 aur 9 : 17 ke liye alarm de","Did you mean: Give me an alarm for 8 : 45 and 9 : 17 on Tuesday?","intent_mapping"
"mujhe dopahar 1 : 00 baje yaad dilao","Did you mean: Remind me at 1 . 00PM?","intent_mapping"
